assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
PROTEINGYM_NCAP_I34A1_Doud_2015,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.7273869451913932,0.0
PROTEINGYM_NUD15_HUMAN_Suiter_2020,2844,2844,0,0,0,2844,40,40,0,0,0,0,1.0,0.025
PROTEINGYM_OXDA_RHOTO_Vanella_2023_activity,6396,6396,0,0,0,6396,40,40,0,0,0,0,0.7482625367098978,0.025
PROTEINGYM_P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.8728870657317565,0.025
PROTEINGYM_P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.6546021631274963,0.0
PROTEINGYM_P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,7467,0,0,0,7467,40,40,0,0,0,0,0.6829354837409322,0.0
PROTEINGYM_PHOT_CHLRE_Chen_2023,2122,2122,0,0,0,2122,40,40,0,0,0,0,0.8901325888778162,0.025
PROTEINGYM_POLG_DEN26_Suphatrakul_2023,16897,16897,0,0,0,16897,40,40,0,0,0,0,0.8996479236990461,0.05
PROTEINGYM_PPARG_HUMAN_Majithia_2016,9576,9576,0,0,0,9576,40,40,0,0,0,0,0.9382517482517482,0.025
PROTEINGYM_PTEN_HUMAN_Mighell_2018,7260,7260,0,0,0,7260,40,40,0,0,0,0,0.7489351825126749,0.0
PROTEINGYM_RASH_HUMAN_Bandaru_2017,3134,3134,0,0,0,3134,40,40,0,0,0,0,0.3092677071492158,0.0
PROTEINGYM_REV_HV1H2_Fernandes_2016,2147,2147,0,0,0,2147,40,40,0,0,0,0,0.610718605697392,0.0
PROTEINGYM_RNC_ECOLI_Weeks_2023,4277,4277,0,0,0,4277,40,40,0,0,0,0,0.968426105354316,0.05
PROTEINGYM_S22A1_HUMAN_Yee_2023_abundance,9803,9803,0,0,0,9803,40,40,0,0,0,0,0.8235466036488661,0.0
PROTEINGYM_S22A1_HUMAN_Yee_2023_activity,10094,10094,0,0,0,10094,40,40,0,0,0,0,0.988398625576909,0.025
PROTEINGYM_SC6A4_HUMAN_Young_2021,11576,11576,0,0,0,11576,40,40,0,0,0,0,0.7632974597237308,0.0
PROTEINGYM_SHOC2_HUMAN_Kwon_2022,10972,10972,0,0,0,10972,40,40,0,0,0,0,0.5659322760985135,0.0
PROTEINGYM_SUMO1_HUMAN_Weile_2017,1700,1700,0,0,0,1700,40,40,0,0,0,0,0.7380778811560306,0.025
PROTEINGYM_TAT_HV1BR_Fernandes_2016,1577,1577,0,0,0,1577,40,40,0,0,0,0,0.5176586612586308,0.05
PROTEINGYM_UBC9_HUMAN_Weile_2017,2563,2563,0,0,0,2563,40,40,0,0,0,0,0.35174247533345065,0.0
PROTEINGYM_VKOR1_HUMAN_Chiasson_2020_abundance,2695,2695,0,0,0,2695,40,40,0,0,0,0,0.9780737055059867,0.025
SLC13A5_zenodo_15352983_joined_variants_scores,9200,9200,0,0,0,9200,40,40,0,0,0,0,0.6268619569125082,0.0
urn_mavedb_00000657-b-1,5842,5842,0,0,0,5842,40,40,0,0,0,0,0.8533774226598992,0.0
urn_mavedb_00001281-a-2,8751,8751,0,0,0,8751,40,40,0,0,0,0,0.8083052272405306,0.0
